Year,Newspapers,Magazines,Television,Radio,Cinema,Outdoor,Internet
2000,107.35,47.46,116.33,30.38,0.87,18.99,7.9
2001,101.84,44.52,113.44,28.09,0.92,19.16,8.61
2002,98.73,42.84,116.95,28.71,1.23,19.08,9.78
2003,100.56,43.85,120.25,29.36,1.32,19.94,11.8
2004,104.45,45.39,130.5,30.93,1.45,21.54,14.73
2005,107.06,48.22,133.85,31.9,1.62,24.13,20.86
2006,110.58,49.72,141.79,33.06,1.75,26.36,27.86
2007,111.12,51.13,146.9,34.03,1.96,29.14,38.63
2008,102.78,48.28,148.33,32.44,2.06,29.09,48.41
2009,84.95,38.34,137.66,28.85,2.04,25.74,53.48
2010,83.45,38.69,153.04,29.19,2.18,28.14,64.69
2011,81.67,38.6,162.29,30.01,2.33,28.82,72.44
2012,76.94,37.03,169.82,30.55,2.51,30.42,86.53
2013,71.91,35.72,175.41,31.13,2.57,31.99,103.05
2014,66.93,34.08,180.55,32.3,2.7,33.37,125.73
2015,61.57,32.56,180.36,32.97,3.02,34.32,151.48
2016,56.12,30.27,183.9,33.48,3.27,35.48,179.13
2017,51.46,27.92,184.46,33.77,3.76,36.52,203.59
2018,48.23,26.22,187.48,34.2,4.34,37.66,227.09
2019,46.4,24.67,189.11,34.58,5.07,38.74,250.18
2020,44.5,23.33,191.36,34.91,5.84,39.55,273.82